nome,endereco,cidade,telefone,lat,lng
MERCEARIA LOPES   01,EDILIO PIRES DA SILVA,BREJINHO DE NAZARE,063-99270-1623,-10.014624,-48.574238
SUPERMEC LAURA SILVA,BELINA CELIC NOGUEIRA,BREJINHO DE NAZARE,063-98465-3137,-10.021922,-48.570423
LANCHONETE DIAS   01,25 DE AGOSTO,BREJINHO DE NAZARE,063-98501-2279,-10.011559,-48.564903
DISTRIBUIDOR BIG BAR,JK QD 28 LT 17,BREJINHO DE NAZARE,063-98401-5260,-10.024451,-48.56967
CONVENIENCIA BOYZADA,RUA PCA N SENHORA DE NAZARE,BREJINHO DE NAZARE,063-98478-1918,-10.014096,-48.565063
CASA DE CARNE LOPE01,RUA R SABIA,BREJINHO DE NAZARE,063-99272-0756,-10.014709,-48.573883
EMPORIO BEER      02,RUA ARAGUAIA QD 05 LOTE 20,BREJINHO DE NAZARE,063-99228-6930,-10.019065,-48.565144
BAR DO GAUCHO     02,NOSSA SENHORA DE NAZARE,BREJINHO DE NAZARE,063-99204-5645,-10.014103,-48.564766
JR DISTRIBUIDORA,ARAGUAIA,BREJINHO DE NAZARE,063-99111-2405,-10.019297,-48.56513
DISTRIBUIDORA C H B,AVENIDA JK SN QD 16 LOTE 16,BREJINHO DE NAZARE,063-98483-8013,-10.023854,-48.569305
CENTRAL DIST E CONVE,SAO BENTO QD 26 LOTE 02 SN,BREJINHO DE NAZARE,063-99948-7524,-10.012982,-48.564793
COMERCIAL NOSSO LA01,FRANCISCO DE OLIVEIRA NEGRE Q 48 L 13,BREJINHO DE NAZARE,063-98474-7074,-10.018883,-48.568058
SUPERMERCADO SHALON,RUI BARBOSA QD 25 LOTE 13,BREJINHO DE NAZARE,063-99107-3807,-10.02195,-48.56718
BAR DO 13,CIRIACO AIRES DA SAILVA Q 42 L 11,BREJINHO DE NAZARE,063-99575-6863,-10.023678,-48.57057
MERCADO VAREJAO,JANUARIO DIAS DOS REIS Q17 L12,BREJINHO DE NAZARE,063-98515-7727,-10.02213,-48.57272
COMIDA CASEIRA    01,FRANCISCO CHAPADENSE,BREJINHO DE NAZARE,063-98434-0190,-10.018871,-48.56476
WS DISTRIBUIDORA,FRANCISCO DE O NEGRE LT 17,BREJINHO DE NAZARE,063-98512-5100,-10.013058,-48.565784
DUDU ATACADISTA,ARAGUAIA,BREJINHO DE NAZARE,063-99110-7678,-10.019003,-48.565113
ESPETO E DISTR TOCAN,APOLONIO AIRES DA SILVA QD 36 LT 01,BREJINHO DE NAZARE,063-98452-2010,-10.019025,-48.574226
BAR E LANCHONETE MO,BREJINHO DE NAZARE,BREJINHO DE NAZARE,063-99206-8908,-10.019957,-48.574444
DISTR LAURA E SILVA,APOLONIO AIRES DA SILVA,BREJINHO DE NAZARE,063-98469-8541,-10.021798,-48.570427
GAUCHAO SUPERMERCADO,ARAGUAIA QUADRA 07 LOTE 18,BREJINHO DE NAZARE,063-98404-8054,-10.019627,-48.565176
